severity_label,id,incident_no,product_type,brand,mode,incident_type,status,service_type,is_failure_type,count_detail,open_datetime,close_datetime,response_datetime,resolved_datetime,open_to_close,open_to_close_hour,open_to_response,open_to_response_hour,response_to_resolved,response_to_resolved_hour,resolved_to_close,resolved_to_close_hour
Major,2135,SR-ES-23-2135,Server,HPE,ProLiant DL560 Gen10,Memory Failure,Closed,Incident,false,4,2023-01-13 12:55:00,2023-01-13 17:13:00,2023-01-13 13:02:00,2023-01-13 17:13:00,0 days 04:18:00,4.3,0 days 00:07:00,0.11666666666666667,0 days 04:11:00,4.183333333333334,0 days 00:00:00,0.0
Minor,2145,SR-ES-23-2145,Software,VMWare,vRealize Automation Advanced Per OSI,Software,Closed,Incident,false,2,2023-01-13 12:27:00,2023-01-13 14:17:00,2023-01-13 12:32:00,2023-01-13 14:17:00,0 days 01:50:00,1.8333333333333333,0 days 00:05:00,0.08333333333333333,0 days 01:45:00,1.75,0 days 00:00:00,0.0
Major,2130,SR-ES-23-2130,Server,HPE,SimpliVity 380 Gen9 Node,General Incident,Closed,Incident,false,2,2023-01-13 11:20:00,2023-01-13 15:33:00,2023-01-13 11:29:00,2023-01-13 15:33:00,0 days 04:13:00,4.216666666666667,0 days 00:09:00,0.15,0 days 04:04:00,4.066666666666666,0 days 00:00:00,0.0
Minor,2143,SR-ES-23-2143,Software,VMWare,vRealize Automation Advanced Per OSI,General Incident,Closed,Incident,false,4,2023-01-13 10:05:00,2023-01-13 12:21:00,2023-01-13 11:05:00,2023-01-13 12:21:00,0 days 02:16:00,2.2666666666666666,0 days 01:00:00,1.0,0 days 01:16:00,1.2666666666666666,0 days 00:00:00,0.0
Major,2148,SR-ES-23-2148,Server,HPE,ProLiant DL560 Gen10,Memory Failure,Closed,Incident,false,3,2023-01-13 10:00:00,2023-01-14 22:30:00,2023-01-13 10:00:00,2023-01-14 22:30:00,1 days 12:30:00,36.5,0 days 00:00:00,0.0,1 days 12:30:00,36.5,0 days 00:00:00,0.0
Major,2151,SR-ES-23-2151,Server,HPE,ProLiant DL560 Gen10,Memory Failure,Closed,Incident,false,4,2023-01-13 00:54:00,2023-01-13 17:13:00,2023-01-13 01:01:00,2023-01-13 17:13:00,0 days 16:19:00,16.316666666666666,0 days 00:07:00,0.11666666666666667,0 days 16:12:00,16.2,0 days 00:00:00,0.0
Major,2147,SR-ES-23-2147,Server,HPE,ProLiant DL560 Gen10,Memory Failure,Closed,Incident,false,3,2023-01-12 22:52:00,2023-01-13 03:40:00,2023-01-12 23:14:00,2023-01-13 03:40:00,0 days 04:48:00,4.8,0 days 00:22:00,0.36666666666666664,0 days 04:26:00,4.433333333333334,0 days 00:00:00,0.0
Major,2149,SR-ES-23-2149,Server,HPE,ProLiant DL560 Gen10,Memory Failure,Closed,Incident,false,3,2023-01-12 15:19:00,2023-01-12 22:52:00,2023-01-12 15:40:00,2023-01-12 22:52:00,0 days 07:33:00,7.55,0 days 00:21:00,0.35,0 days 07:12:00,7.2,0 days 00:00:00,0.0
Major,2129,SR-ES-23-2129,Firewall,CheckPoint,Open Server,General Incident,Closed,Incident,false,4,2023-01-12 13:30:00,2023-01-23 14:51:00,2023-01-12 13:44:00,2023-01-23 12:15:00,11 days 01:21:00,265.35,0 days 00:14:00,0.23333333333333334,10 days 22:31:00,262.51666666666665,0 days 02:36:00,2.6
Major,2126,SR-ES-23-2126,Server,HPE,3PAR StoreServ 9450,General Incident,Closed,Incident,false,1,2023-01-12 10:11:00,2023-01-12 11:20:00,2023-01-12 10:19:00,2023-01-12 11:20:00,0 days 01:09:00,1.15,0 days 00:08:00,0.13333333333333333,0 days 01:01:00,1.0166666666666666,0 days 00:00:00,0.0
Major,2178,SR-ES-23-2178,Software,VMWare,VMWARE NSX DATA CENTER ADVANCED PER PROCESSOR,Software,Closed,Incident,false,1,2023-01-12 10:08:00,2023-01-12 16:32:00,2023-01-12 10:19:00,2023-01-12 16:32:00,0 days 06:24:00,6.4,0 days 00:11:00,0.18333333333333332,0 days 06:13:00,6.216666666666667,0 days 00:00:00,0.0
Cosmatic,2146,SR-ES-23-2146,Server,Oracle,Oracle X8-2,Report,Closed,Request,false,2,2023-01-12 10:00:00,2023-02-12 12:00:00,2023-01-12 10:00:00,2023-01-12 12:00:00,31 days 02:00:00,746.0,0 days 00:00:00,0.0,0 days 02:00:00,2.0,31 days 00:00:00,744.0
Major,2150,SR-ES-23-2150,Server,HPE,ProLiant DL560 Gen10,Memory Failure,Closed,Incident,false,3,2023-01-12 09:14:00,2023-01-12 18:16:00,2023-01-12 09:26:00,2023-01-12 18:16:00,0 days 09:02:00,9.033333333333333,0 days 00:12:00,0.2,0 days 08:50:00,8.833333333333334,0 days 00:00:00,0.0
Major,2153,SR-ES-23-2153,Hardware,Oracle,ZFS Storage ZS3-2,Hard Disk Drive Failure,Closed,Incident,false,1,2023-01-12 08:44:00,2023-01-12 11:59:00,2023-01-12 08:45:00,2023-01-12 09:00:00,0 days 03:15:00,3.25,0 days 00:01:00,0.016666666666666666,0 days 00:15:00,0.25,0 days 02:59:00,2.9833333333333334
