severity_id,severity_name,sla,product_type,brand,service_type,incident_type,open_to_close_hour,response_to_resolved_hour,label_multi_severity,label_binary_severity
2,Major,24x7 4Hrs Response Time,Storage,Veritas,Incident,Backup Failure,26.566666666666666,26.4,2,1
2,Major,24x7 4Hrs Resolution Time,Firewall,Palo Alto,Incident,General Incident,0.38333333333333336,0.38333333333333336,2,1
3,Minor,24x7 6Hrs Resolution Time,Software,eUnite,Incident,Software,7.5,1.5,1,0
2,Major,24x7 6Hrs Resolution Time,Storage,HPE,Incident,General Incident,82.9,2.533333333333333,2,1
2,Major,24x7 4Hrs Response Time,Server,DELL,Incident,Memory Failure,10.716666666666667,10.55,2,1
2,Major,24x7 4Hrs Response Time,Software,VMWare,Incident,General Incident,9.6,9.0,2,1
1,Critical,24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,System Board Failure,293.5,292.5,3,1
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,Cache Battery Failure,45.0,42.0,2,1
2,Major,24x7 4Hrs Resolution Time,Access Point,Cisco,Incident,General Incident,0.5,0.5,2,1
4,Cosmetic,24x7 4Hrs Response Time,Software,VMWare,Request,General Incident,1.6666666666666667,0.6666666666666666,0,0
4,Cosmetic,24x7 4Hrs Resolution Time,Storage,HPE,Incident,Hard Disk Drive Failure,2.0,2.0,0,0
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,19.716666666666665,19.65,2,1
4,Cosmetic,24x7 4Hrs Resolution Time,Software,VMWare,Request,Upgrade Software,2.5,2.4833333333333334,0,0
4,Cosmetic,24x7 4Hrs Resolution Time,Software,VMWare,Request,Configuration Change,132.0,11.983333333333333,0,0
3,Minor,24x7 4Hrs Response Time,Software,Trend Micro,Request,Software,2.0,1.9166666666666667,1,0
3,Minor,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,0.8166666666666667,0.6666666666666666,1,0
4,Cosmetic,24x7 6Hrs Resolution Time,Software,VMWare,Request,General Incident,65.48333333333333,65.38333333333334,0,0
3,Minor,24x7 4Hrs Response Time,Storage,NetApp,Incident,Hard Disk Drive Failure,18.5,18.483333333333334,1,0
2,Major,24x7 4Hrs Response Time,Storage,NetApp,Incident,General Incident,118.8,118.58333333333333,2,1
2,Major,24x7 4Hrs Resolution Time,Storage,HPE,Incident,General Incident,24.1,5.85,2,1
2,Major,24x7 4Hrs Response Time,Server,HPE,Incident,General Incident,28.533333333333335,28.533333333333335,2,1
3,Minor,24x7 4Hrs Resolution Time,Storage,HPE,Incident,Battery Failure,6.45,5.866666666666666,1,0
2,Major,24x7 4Hrs Response Time,Server,HPE,Incident,General Incident,4.566666666666666,4.233333333333333,2,1
3,Minor,24x7 4Hrs Response Time,Software,VMWare,Incident,Software,3.533333333333333,2.1666666666666665,1,0
3,Minor,24x7 4Hrs Resolution Time,Access Point,Cisco,Incident,Other Failure,4.0,4.0,1,0
2,Major,24x7 6Hrs Resolution Time,Server,HPE,Incident,Memory Failure,6.333333333333333,6.0,2,1
1,Critical,24x7 4Hrs Resolution Time,Server,HPE,Incident,Hard Disk Drive Failure,4.766666666666667,4.7,3,1
4,Cosmetic,24x7 4Hrs Resolution Time,Access Point,Cisco,Request,General Incident,76.5,69.58333333333333,0,0
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,CPU Failure,5.8,2.7333333333333334,2,1
2,Major,24x7 6Hrs Response Time,Server,HPE,Incident,General Incident,8.0,8.0,2,1
3,Minor,24x7 4Hrs Resolution Time,Storage,NetApp,Incident,Hard Disk Drive Failure,23.166666666666668,23.166666666666668,1,0
4,Cosmetic,24x7 4Hrs Resolution Time,Other,YIP,Incident,General Incident,4.0,3.0,0,0
2,Major,24x7 4Hrs Resolution Time,Storage,HPE,Incident,Other Failure,6.733333333333333,6.633333333333334,2,1
3,Minor,24x7 6Hrs Resolution Time,Software,eUnite,Incident,Software,7.783333333333333,7.416666666666667,1,0
2,Major,24x7 4Hrs Resolution Time,Software,VMWare,Incident,Software,1.2333333333333334,1.0833333333333333,2,1
4,Cosmetic,24x7 4Hrs Response Time,Software,VMWare,Request,General Incident,7.733333333333333,7.5,0,0
2,Major,24x7 4Hrs Response Time,Firewall,Palo Alto,Incident,General Incident,262.85,2.783333333333333,2,1
2,Major,24x7 4Hrs Resolution Time,Software,VMWare,Incident,General Incident,666.8833333333333,666.85,2,1
2,Major,24x7 4Hrs Resolution Time,Other,HPE,Incident,General Incident,0.7166666666666667,0.7,2,1
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,Hard Disk Drive Failure,5.416666666666667,4.233333333333333,2,1
2,Major,24x7 4Hrs Response Time,Software,VMWare,Incident,General Incident,10.316666666666666,10.0,2,1
1,Critical,24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,Hard Disk Drive Failure,25.983333333333334,23.916666666666668,3,1
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,5.25,5.183333333333334,2,1
2,Major,8x5 4Hrs Response Time,Server,HPE,Incident,Hard Disk Drive Failure,96.61666666666666,96.61666666666666,2,1
2,Major,24x7 6Hrs Resolution Time,Software,SAPB1,Incident,Software,0.2,0.18333333333333332,2,1
4,Cosmetic,24x7 4Hrs Response Time,Storage,NetApp,Request,General Incident,258.73333333333335,258.73333333333335,0,0
3,Minor,24x7 4Hrs Resolution Time,Storage,HPE,Incident,Hard Disk Drive Failure,12.55,12.383333333333333,1,0
2,Major,24x7 4Hrs Resolution Time,Firewall,Palo Alto,Incident,General Incident,0.43333333333333335,0.4166666666666667,2,1
3,Minor,24x7 4Hrs Response Time,Storage,NetApp,Request,General Incident,571.75,319.7,1,0
2,Major,24x7 4Hrs Response Time,Server,HPE,Incident,General Incident,768.9666666666667,768.8333333333334,2,1
2,Major,24x7 4Hrs Resolution Time,Server,Oracle,Incident,Hard Disk Drive Failure,49.983333333333334,47.0,2,1
4,Cosmetic,24x7 4Hrs Response Time,Storage,NetApp,Request,General Incident,1.0333333333333334,0.5166666666666667,0,0
2,Major,24x7 4Hrs Response Time,Storage,NetApp,Incident,Power Supply Failure,8.0,7.916666666666667,2,1
2,Major,24x7 4Hrs Resolution Time,Firewall,Palo Alto,Incident,General Incident,0.8166666666666667,0.8,2,1
4,Cosmetic,24x7 4Hrs Response Time,Storage,NetApp,Request,General Incident,30.316666666666666,24.833333333333332,0,0
2,Major,24x7 6Hrs Resolution Time,Storage,NetApp,Incident,Hard Disk Drive Failure,6.25,5.916666666666667,2,1
2,Major,24x7 4Hrs Response Time,Storage,NetApp,Incident,General Incident,365.31666666666666,169.01666666666668,2,1
4,Cosmetic,24x7 4Hrs Response Time,Storage,Veritas,Incident,General Incident,63.0,21.833333333333332,0,0
3,Minor,24x7 4Hrs Resolution Time,Access Point,Cisco,Incident,Configuration Change,3.0,3.0,1,0
3,Minor,24x7 4Hrs Response Time,Storage,Veritas,Incident,Backup Failure,0.9333333333333333,0.6666666666666666,1,0
2,Major,24x7 6Hrs Resolution Time,Software,SAPB1,Incident,Software,1.2666666666666666,1.25,2,1
3,Minor,24x7 4Hrs Response Time,Software,Veeam,Request,Configuration Change,41.333333333333336,41.233333333333334,1,0
2,Major,24x7 4Hrs Response Time,Storage,NetApp,Incident,General Incident,110.38333333333334,110.23333333333333,2,1
4,Cosmetic,24x7 4Hrs Response Time,Software,VMWare,Request,General Incident,14.483333333333333,14.483333333333333,0,0
2,Major,24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,Hard Disk Drive Failure,78.0,73.9,2,1
2,Major,24x7 4Hrs Response Time,Software,VMWare,Incident,General Incident,5.2,5.0,2,1
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,Hard Disk Drive Failure,8.383333333333333,0.8833333333333333,2,1
4,Cosmetic,8x5 4Hrs Response Time,Access Point,HPE,Incident,Network Adapter Failure,52.666666666666664,52.333333333333336,0,0
1,Critical,24x7 4Hrs Resolution Time,Server,HPE,Incident,Memory Failure,9.383333333333333,9.333333333333334,3,1
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,Hard Disk Drive Failure,13.333333333333334,4.5,2,1
2,Major,24x7 4Hrs Response Time,Software,VMWare,Incident,General Incident,10.7,9.0,2,1
2,Major,24x7 4Hrs Response Time,Storage,NetApp,Incident,General Incident,106.78333333333333,106.45,2,1
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,Memory Failure,4.6,4.416666666666667,2,1
4,Cosmetic,24x7 4Hrs Response Time,Storage,HPE,Request,Upgrade Software,8.0,8.0,0,0
2,Major,24x7 4Hrs Response Time,Server,HPE,Incident,General Incident,1.25,1.05,2,1
2,Major,24x7 4Hrs Response Time,Storage,NetApp,Incident,General Incident,2627.266666666667,2609.866666666667,2,1
2,Major,24x7 4Hrs Resolution Time,Software,Red Hat,Incident,Software,27.65,27.433333333333334,2,1
